,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
1888, ,22:59:41.19,-18:58:16.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-05-01T12:34:07.205,May  1 2015,UVES_dic2_cal_flatfree,2015-05-01T12:26:55,57.84,,,"FREE,OG590",57143.523695,1.0,-1.0
1887, ,23:06:55.36,-22:13:19.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-05-01T12:31:59.563,May  1 2015,UVES_dic2_cal_flatfree,2015-05-01T12:26:55,57.84,,,"FREE,OG590",57143.522217,1.0,-1.0
1889, ,22:48:00.20,-16:40:39.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-05-01T12:36:14.598,May  1 2015,UVES_dic2_cal_flatfree,2015-05-01T12:26:55,57.839,,,"FREE,OG590",57143.525169,1.0,-1.0
1886, ,23:08:39.29,-25:52:14.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-05-01T12:29:52.170,May  1 2015,UVES_dic2_cal_flatfree,2015-05-01T12:26:55,57.839,,,"FREE,OG590",57143.520743,1.0,-1.0
1885,"LAMP,FLAT",23:04:45.77,-29:26:29.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-05-01T12:27:44.098,May  1 2015,UVES_dic2_cal_flatfree,2015-05-01T12:26:55,57.839,,,"FREE,OG590",57143.51926,1.0,-1.0
1869, ,16:35:23.93,-40:16:31.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-16T12:51:01.232,Apr 16 2015,UVES_dic2_cal_flatfree,2015-04-16T12:41:43,57.839,,,"FREE,OG590",57128.535431,1.0,-1.0
1868, ,16:35:23.93,-40:16:31.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-16T12:48:54.599,Apr 16 2015,UVES_dic2_cal_flatfree,2015-04-16T12:41:43,57.839,,,"FREE,OG590",57128.533965,1.0,-1.0
1867, ,16:35:23.93,-40:16:31.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-16T12:46:47.158,Apr 16 2015,UVES_dic2_cal_flatfree,2015-04-16T12:41:43,57.839,,,"FREE,OG590",57128.53249,1.0,-1.0
1866, ,16:35:23.93,-40:16:31.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-16T12:44:40.155,Apr 16 2015,UVES_dic2_cal_flatfree,2015-04-16T12:41:43,57.839,,,"FREE,OG590",57128.53102,1.0,-1.0
1865,"LAMP,FLAT",16:35:23.93,-40:16:31.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-16T12:42:33.083,Apr 16 2015,UVES_dic2_cal_flatfree,2015-04-16T12:41:43,57.839,,,"FREE,OG590",57128.52955,1.0,-1.0
2259, ,08:40:53.44,-32:53:16.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-21T11:45:02.010,Nov 21 2015,UVES_dic2_cal_flatfree,2015-11-21T11:35:42,57.838,,,"FREE,OG590",57347.489607,1.0,-1.0
2258, ,08:40:53.44,-32:53:16.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-21T11:42:54.690,Nov 21 2015,UVES_dic2_cal_flatfree,2015-11-21T11:35:42,57.838,,,"FREE,OG590",57347.488133,1.0,-1.0
